"gene_name","gene_id"
"AADACL1",57552
"AAK1",22848
"ABHD12",26090
"ABI1",10006
"ABI2",10152
"ABLIM1",3983
"ACSL1",2180
"ACSL3",2181
"ACTB",60
"ACTG1",71
"ACTN1",87
"ACTR2",10097
"ACTR3",10096
"ADAM22",53616
"ADAM23",8745
"ADCY1",107
"ADCY2",108
"ADCY3",109
"ADCY4",196883
"ADCY5",111
"ADCY8",114
"ADCY9",115
"ADD1",118
"ADD2",119
"ADD3",120
"ADORA1",134
"ADORA2A",135
"ADRA1A",148
"ADRA2A",150
"ADRB2",154
"ADRB3",155
"AGAP2",116986
"AGK",55750
"AGRN",375790
"AHSA1",10598
"ALCAM",214
"ALG2",85365
"AMPH",273
"ANK2",287
"ANK3",288
"ANXA1",301
"ANXA11",311
"ANXA2",302
"ANXA5",308
"ANXA6",309
"ANXA7",310
"AP1B1",162
"AP1M1",8907
"AP1M2",10053
"AP2A1",160
"AP2A2",161
"AP2B1",163
"AP2M1",1173
"AP2S1",1175
"AP3D1",8943
"AP3M2",10947
"AP3S2",10239
"APBA1",320
"APBA2",321
"APBA3",9546
"APH1A",51107
"APH1B",83464
"APOE",348
"APP",351
"APPBP2",10513
"AQP4",361
"ARF4",378
"ARFGAP1",55738
"ARFIP2",23647
"ARHGAP1",392
"ARHGDIA",396
"ARL6IP5",10550
"ARL8B",55207
"ARPC1A",10552
"ARPC3",10094
"ARPC4",10093
"ARPC5",10092
"ASTN1",460
"ATCAY",85300
"ATM",472
"ATP1A1",476
"ATP1A2",477
"ATP1A3",478
"ATP1B1",481
"ATP1B2",482
"ATP2A2",488
"ATP2B1",490
"ATP2B2",491
"ATP2B3",492
"ATP2B4",493
"ATP6AP1",537
"ATP6V0A1",535
"ATP6V0C",527
"ATP6V0D1",9114
"ATP6V1A",523
"ATP6V1B1",525
"ATP6V1B2",526
"ATP6V1C1",528
"ATP6V1D",51382
"ATP6V1E1",529
"ATP6V1F",9296
"ATP6V1G2",534
"ATP6V1H",51606
"ATP8A1",10396
"AVP",551
"BAI3",577
"BAIAP2",10458
"BASP1",10409
"BCAN",63827
"BCAP31",10134
"BCAS1",8537
"BDNF",627
"BEGAIN",57596
"BRSK1",84446
"BSG",682
"BSN",8927
"BZRAP1",9256
"C10orf58",84293
"C1orf142",116841
"C1QBP",708
"C2orf55",343990
"C6orf174",387104
"C9orf126",286205
"CA2",760
"CACNA1A",773
"CACNA1B",774
"CACNA1C",775
"CACNA1D",776
"CACNA1E",777
"CACNA1F",778
"CACNA2D1",781
"CACNA2D2",9254
"CACNA2D3",55799
"CACNA2D4",93589
"CACNB1",782
"CACNB3",784
"CACNB4",785
"CACNG2",10369
"CACNG3",10368
"CACNG4",27092
"CACNG5",27091
"CACNG8",59283
"CADM1",23705
"CADM2",253559
"CADM4",199731
"CADPS",8618
"CALM1",801
"CALM2",805
"CALM3",808
"CALML3",810
"CALML4",91860
"CALR",811
"CAMK1",8536
"CAMK1D",57118
"CAMK1G",57172
"CAMK2A",815
"CAMK2B",816
"CAMK2D",817
"CAMK2G",818
"CAMK2N1",55450
"CAMK4",814
"CAND1",55832
"CANX",821
"CAP1",10487
"CAP2",10486
"CAPN5",726
"CAPZA2",830
"CAPZB",832
"CASK",8573
"CASKIN1",57524
"CASKIN2",57513
"CCK",885
"CCT2",10576
"CCT3",7203
"CCT4",10575
"CCT6A",908
"CCT7",10574
"CCT8",10694
"CD200",4345
"CD47",961
"CDC42",998
"CDH1",999
"CDH10",1008
"CDH11",1009
"CDH12",1010
"CDH13",1012
"CDH15",1013
"CDH16",1014
"CDH18",1016
"CDH19",28513
"CDH2",1000
"CDH20",28316
"CDH22",64405
"CDH23",64072
"CDH26",60437
"CDH3",1001
"CDH4",1002
"CDH5",1003
"CDH6",1004
"CDH7",1005
"CDH8",1006
"CDH9",1007
"CEND1",51286
"CFL1",1072
"CHAT",1103
"CHGA",1113
"CHP",11261
"CHRM1",1128
"CHRM2",1129
"CHRNA4",1137
"CHRNA6",8973
"CHRNA7",1139
"CHRNB2",1141
"CIT",11113
"CKB",1152
"CLASP2",23122
"CLTC",1213
"CNKSR2",22866
"CNP",1267
"CNR1",1268
"CNR2",1269
"CNRIP1",25927
"CNTN1",1272
"CNTN2",6900
"CNTN3",5067
"CNTN4",152330
"CNTN5",53942
"CNTN6",27255
"CNTNAP1",8506
"CNTNAP2",26047
"CORO1A",11151
"CORO2B",10391
"COTL1",23406
"CPLX1",10815
"CPLX2",10814
"CPNE4",131034
"CPNE6",9362
"CRH",1392
"CRHBP",1393
"CRHR1",1394
"CRHR2",1395
"CRMP1",1400
"CRYM",1428
"CSNK2A1",1457
"CSNK2B",1460
"CSPG5",10675
"CSRP1",1465
"CST3",1471
"CTBP1",1487
"CTBP2",1488
"CTNNA1",1495
"CTNNA2",1496
"CTNNB1",1499
"CTNND1",1500
"CTNND2",1501
"CTTN",2017
"CYFIP1",23191
"DAPK1",1612
"DBC1",1620
"DBH",1621
"DBI",1622
"DBN1",1627
"DBNL",28988
"DCHS1",8642
"DCHS2",54798
"DCLK1",9201
"DCTN1",1639
"DCTN2",10540
"DDAH1",23576
"DIRAS2",54769
"DLG1",1739
"DLG2",1740
"DLG3",1741
"DLG4",1742
"DLGAP1",9229
"DLGAP2",9228
"DLGAP3",58512
"DLGAP4",22839
"DMXL2",23312
"DNAJA1",3301
"DNAJC11",55735
"DNAJC5",80331
"DNAJC6",9829
"DNM1",1759
"DNM1L",10059
"DNM2",1785
"DNM3",26052
"DOC2A",8448
"DOC2B",8447
"DOCK4",9732
"DPP6",1804
"DPYSL2",1808
"DPYSL3",1809
"DPYSL4",10570
"DPYSL5",56896
"DRD1",1812
"DRD2",1813
"DSTN",11034
"DVL1",1855
"DYNC1H1",1778
"DYNC1I1",1780
"DYNC2H1",79659
"DYNLL1",8655
"DYNLL2",140735
"DYNLT1",6993
"EEF1A1",1915
"EEF1A2",1917
"EEF2",1938
"EHD3",30845
"EIF4B",1975
"ENDOD1",23052
"ENO1",2023
"ENO2",2026
"ENSA",2029
"EPB41L1",2036
"EPB41L2",2037
"EPB41L3",23136
"EPHA4",2043
"ERBB2",2064
"ERBB2IP",55914
"ERC1",23085
"ERC2",26059
"EXOC1",55763
"EXOC2",55770
"EXOC3",11336
"EXOC4",60412
"EXOC5",10640
"EXOC6",54536
"EXOC7",23265
"EXOC8",149371
"EZR",7430
"FASN",2194
"FBXO41",150726
"FGF1",2246
"FKBP1A",2280
"FLJ45455",388336
"FLOT1",10211
"FLOT2",2319
"FRMPD4",9758
"FSCN1",6624
"GABARAPL2",11345
"GABBR1",2550
"GABBR2",9568
"GABRA1",2554
"GABRA2",2555
"GABRA3",2556
"GABRA4",2557
"GABRA5",2558
"GABRA6",2559
"GABRB1",2560
"GABRB2",2561
"GABRB3",2562
"GABRE",2564
"GABRG1",2565
"GABRG2",2566
"GANAB",23193
"GAP43",2596
"GAPDH",2597
"GAS7",8522
"GBAS",2631
"GDA",9615
"GDAP1",54332
"GDAP1L1",78997
"GDI1",2664
"GDI2",2665
"GIT1",28964
"GJA1",2697
"GK",2710
"GLO1",2739
"GLS",2744
"GNA11",2767
"GNA12",2768
"GNA13",10672
"GNA14",9630
"GNA15",2769
"GNAI1",2770
"GNAI2",2771
"GNAI3",2773
"GNAL",2774
"GNAO1",2775
"GNAQ",2776
"GNAS",2778
"GNAT1",2779
"GNAZ",2781
"GNB1",2782
"GNB2",2783
"GNB3",2784
"GNB4",59345
"GNB5",10681
"GNG10",2790
"GNG11",2791
"GNG12",55970
"GNG2",54331
"GNG3",2785
"GNG4",2786
"GNG5",2787
"GNG7",2788
"GOLSYN",55638
"GOT1",2805
"GPC1",2817
"GPD1",2819
"GPM6A",2823
"GPM6B",2824
"GPR158",57512
"GPRIN1",114787
"GRB2",2885
"GRIA1",2890
"GRIA2",2891
"GRIA3",2892
"GRIA4",2893
"GRIK1",2897
"GRIK2",2898
"GRIK3",2899
"GRIK4",2900
"GRIK5",2901
"GRIN1",2902
"GRIN2A",2903
"GRIN2B",2904
"GRIN2C",2905
"GRIN2D",2906
"GRM1",2911
"GRM3",2913
"GRM4",2914
"GRM5",2915
"GRM7",2917
"GRM8",2918
"GSK3B",2932
"GSTM3",2947
"GSTM5",2949
"GSTP1",2950
"GUCY1A2",2977
"GUCY1A3",2982
"GUCY1B3",2983
"HAPLN1",1404
"HAPLN4",404037
"HBA2",3040
"HBG1",3047
"HCN1",348980
"HINT1",3094
"HK1",3098
"HNT",50863
"HOMER1",9456
"HOMER3",9454
"HPCA",3208
"HPCAL1",3241
"HPCAL4",51440
"HRAS",3265
"HRB",3267
"HSD17B4",3295
"HSP90AA1",3320
"HSP90B1",7184
"HSPA12A",259217
"HSPA4",3308
"HSPA4L",22824
"HSPA5",3309
"HSPA8",3312
"HSPH1",10808
"HTR1A",3350
"HTR1B",3351
"HTR1D",3352
"HTR2A",3356
"HTR2B",3357
"HTR3A",3359
"HTR3B",9177
"HTR7",3363
"ICAM5",7087
"IDH1",3417
"IGSF8",93185
"INA",9118
"INPP4A",3631
"IQSEC1",9922
"IQSEC2",23096
"ITPKA",3706
"KCNA1",3736
"KCNA2",3737
"KCNA4",3739
"KCNAB1",7881
"KCNAB2",8514
"KCNC1",3746
"KCNC2",3747
"KCNC4",3749
"KCND2",3751
"KCNE1",3753
"KCNE1L",23630
"KCNE2",9992
"KCNE3",10008
"KCNE4",23704
"KCNJ10",3766
"KCNJ12",3768
"KCNJ15",3772
"KCNJ3",3760
"KCNJ4",3761
"KCNJ5",3762
"KCNJ6",3763
"KCNJ8",3764
"KCNJ9",3765
"KCNMA1",3778
"KCNMB1",3779
"KCNMB2",10242
"KCNMB4",27345
"KCTD12",115207
"KCTD16",57528
"KIAA0513",9764
"KIAA1045",23349
"KIAA1688",80728
"KIDINS220",57498
"KIF1A",547
"KIF1B",23095
"KIF2A",3796
"KIF2B",84643
"KIF4A",24137
"KIF5B",3799
"KIF5C",3800
"KLC1",3831
"KLC2",64837
"KLC4",89953
"KPNB1",3837
"KRAS",3845
"KTN1",3895
"L1CAM",3897
"LAMP1",3916
"LAMP2",3920
"LANCL1",10314
"LANCL2",55915
"LASP1",3927
"LDHA",3939
"LGI1",9211
"LIN7A",8825
"LIN7B",64130
"LINGO1",84894
"LOC389813",389813
"LPHN1",22859
"LPPR4",9890
"LRP1",4035
"LRRC7",57554
"LRRTM1",347730
"LSAMP",4045
"LY6H",4062
"MACF1",23499
"MAL2",114569
"MAOA",4128
"MAOB",4129
"MAP1A",4130
"MAP1B",4131
"MAP2",4133
"MAP2K1",5604
"MAP6",4135
"MAPK1",5594
"MAPK3",5595
"MAPK8IP1",9479
"MAPK8IP2",23542
"MAPK8IP3",23162
"MAPRE3",22924
"MAPT",4137
"MARCKS",4082
"MARCKSL1",65108
"MBP",4155
"MDH1",4190
"MGLL",11343
"MGST3",4259
"MIF",4282
"MINK1",50488
"MOG",4340
"MOXD1",26002
"MPP2",4355
"MPP3",4356
"MPP4",58538
"MPP5",64398
"MPP6",51678
"MRAS",22808
"MYH10",4628
"MYH9",4627
"MYL6",4637
"MYL9",10398
"MYO5A",4644
"MYRIP",25924
"NAPA",8775
"NAPB",10801
"NAPG",8774
"NBEA",26960
"NCALD",83988
"NCAM1",4684
"NCAM2",4685
"NCAN",1463
"NCDN",23154
"NCKAP1",10787
"NCKIPSD",51517
"NCSTN",23385
"NDRG2",57447
"NEBL",10529
"NECAP1",25977
"NEDD8",4738
"NEFH",4744
"NEFL",4747
"NEFM",4741
"NEO1",4756
"NF1",4763
"NFASC",23114
"NIPSNAP1",8508
"NLGN1",22871
"NLGN2",57555
"NLGN3",54413
"NLGN4X",57502
"NME1",4830
"NME2",4831
"NPEPPS",9520
"NPTN",27020
"NPTX1",4884
"NPTXR",23467
"NPY",4852
"NRG1",3084
"NRG2",9542
"NRG3",10718
"NRG4",145957
"NRGN",4900
"NRXN1",9378
"NRXN2",9379
"NRXN3",9369
"NSF",4905
"NSFL1C",55968
"NT5DC3",51559
"NTRK2",4915
"NTS",4922
"NUMBL",9253
"OLFM1",10439
"OMG",4974
"OPCML",4978
"OPRD1",4985
"OPRK1",4986
"OPRM1",4988
"OTUB1",55611
"OXT",5020
"P2RX1",5023
"P2RX3",5024
"P2RX6",9127
"P2RX7",5027
"P2RY1",5028
"P2RY2",5029
"P4HB",5034
"PACS1",55690
"PACSIN1",29993
"PAFAH1B1",5048
"PAFAH1B2",5049
"PALM",5064
"PALM2",114299
"PCDH1",5097
"PCLO",27445
"PCP4",5121
"PCSK1",5122
"PCSK2",5126
"PDE2A",5138
"PDIA3",2923
"PDIA6",10130
"PDXP",57026
"PDYN",5173
"PEBP1",5037
"PENK",5179
"PFKL",5211
"PFKM",5213
"PFKP",5214
"PFN1",5216
"PFN2",5217
"PGAM1",5223
"PGK1",5230
"PGM2",55276
"PGRMC1",10857
"PHB",5245
"PHGDH",26227
"PHYHIP",9796
"PI4KA",5297
"PICALM",8301
"PICK1",9463
"PIP4K2B",8396
"PIP4K2C",79837
"PIP5K1C",23396
"PITPNA",5306
"PKP4",8502
"PLCB1",23236
"PLCB3",5331
"PLCB4",5332
"PLCG1",5335
"PLD1",5337
"PLEC1",5339
"PLP1",5354
"POR",5447
"PPAP2B",8613
"PPFIA1",8500
"PPFIA2",8499
"PPFIA3",8541
"PPFIA4",8497
"PPFIBP1",8496
"PPFIBP2",8495
"PPIA",5478
"PPIB",5479
"PPP1CB",5500
"PPP1R1B",84152
"PPP1R9B",84687
"PPP2CB",5516
"PPP2R1A",5518
"PPP2R4",5524
"PPP3CA",5530
"PPP3CB",5532
"PPP3CC",5533
"PPP3R1",5534
"PRDX1",5052
"PRDX2",7001
"PRICKLE2",166336
"PRKACA",5566
"PRKACB",5567
"PRKAR1A",5573
"PRKAR1B",5575
"PRKAR2A",5576
"PRKAR2B",5577
"PRKCA",5578
"PRKCB1",5579
"PRKCD",5580
"PRKCE",5581
"PRKCG",5582
"PRKCZ",5590
"PRNP",5621
"PRRT1",80863
"PRRT3",285368
"PSD3",23362
"PSEN1",5663
"PSEN2",5664
"PSENEN",55851
"PTPN9",5780
"PTPRA",5786
"PTPRG",5793
"PTPRN2",5799
"PTPRS",5802
"PURA",5813
"PVRL1",5818
"PYGB",5834
"QDPR",5860
"RAB10",10890
"RAB11B",9230
"RAB12",201475
"RAB14",51552
"RAB15",376267
"RAB18",22931
"RAB1A",5861
"RAB1B",81876
"RAB21",23011
"RAB24",53917
"RAB25",57111
"RAB26",25837
"RAB27B",5874
"RAB2A",5862
"RAB30",27314
"RAB31",11031
"RAB33A",9363
"RAB35",11021
"RAB3A",5864
"RAB3B",5865
"RAB3C",115827
"RAB3D",9545
"RAB3GAP1",22930
"RAB4A",5867
"RAB4B",53916
"RAB5A",5868
"RAB5B",5869
"RAB5C",5878
"RAB6A",5870
"RAB6B",51560
"RAB6IP1",23258
"RAB7A",7879
"RAB8A",4218
"RAB8B",51762
"RAB9B",51209
"RABAC1",10567
"RABEP1",9135
"RABEP2",79874
"RABGEF1",27342
"RABIF",5877
"RAC1",5879
"RALA",5898
"RAP1B",5908
"RAP1GDS1",5910
"RAP2A",5911
"RAP2B",5912
"RAPGEF4",11069
"RASAL1",8437
"RGS7",6000
"RHOA",387
"RHOB",388
"RIMBP2",23504
"RIMS1",22999
"RIMS2",9699
"RIMS3",9783
"ROBO1",6091
"ROBO2",6092
"ROCK1",6093
"ROCK2",9475
"RPH3A",22895
"RPH3AL",9501
"RPL10",6134
"RPL13",6137
"RPL29",6159
"RPL4",6124
"RPL6",6128
"RPS16",6217
"RPS18",6222
"RPS27A",6233
"RPS3A",6189
"RPS9",6203
"RRBP1",6238
"RTN1",6252
"RTN3",10313
"RTN4",57142
"RYR1",6261
"RYR2",6262
"RYR3",6263
"SACS",26278
"SAMM50",25813
"SBF1",6305
"SCAMP1",9522
"SCAMP2",10066
"SCAMP3",10067
"SCAMP5",192683
"SCCPDH",51097
"SCG2",7857
"SCG5",6447
"SCN1A",6323
"SCN1B",6324
"SCN2A",6326
"SCN2B",6327
"SCN3A",6328
"SCN3B",55800
"SCN4B",6330
"SCN5A",6331
"SCN8A",6334
"SCN9A",6335
"SCRN1",9805
"SEC22C",9117
"SEPT11",55752
"SEPT2",4735
"SEPT3",55964
"SEPT5",5413
"SEPT6",23157
"SEPT7",989
"SEPT8",23176
"SEPT9",10801
"SH3GL2",6456
"SH3GLB1",51100
"SH3GLB2",56904
"SHANK2",22941
"SHANK3",85358
"SIRPA",140885
"SIRT2",22933
"SKP1",6500
"SLC12A5",57468
"SLC17A6",57084
"SLC17A7",57030
"SLC17A8",246213
"SLC18A1",6570
"SLC18A2",6571
"SLC18A3",6572
"SLC1A1",6505
"SLC1A2",6506
"SLC1A3",6507
"SLC1A4",6509
"SLC1A6",6511
"SLC1A7",6512
"SLC25A4",291
"SLC25A5",292
"SLC2A1",6513
"SLC2A3",6515
"SLC30A1",7779
"SLC30A3",7781
"SLC30A4",7782
"SLC30A5",64924
"SLC30A6",55676
"SLC30A7",148867
"SLC30A9",10463
"SLC32A1",140679
"SLC35d3",340146
"SLC38A3",10991
"SLC3A2",6520
"SLC4A1",6521
"SLC4A10",57282
"SLC4A4",8671
"SLC6A1",6529
"SLC6A17",388662
"SLC6A2",6530
"SLC6A3",6531
"SLC6A4",6532
"SLC6A5",9152
"SLC6A6",6533
"SLC6A7",6534
"SLC6A8",6535
"SLC6A9",6536
"SLC7A5",8140
"SLC8A1",6546
"SLC8A2",6543
"SLC8A3",6547
"SLC9A3R1",9368
"SMPD3",55512
"SNAP23",8773
"SNAP25",6616
"SNAP29",9342
"SNAP91",9892
"SNAPIN",23557
"SNCA",6622
"SNCB",6620
"SNIP",80725
"SNX5",27131
"SORBS1",10580
"SPG3A",51062
"SPTAN1",6709
"SPTB",6710
"SPTBN1",6711
"SPTBN2",6712
"SST",6750
"STIP1",10963
"STMN1",3925
"STX12",23673
"STX16",8675
"STX1A",6804
"STX1B",112755
"STX2",2054
"STX3",6809
"STX4",6810
"STX5",6811
"STX6",10228
"STX7",8417
"STX8",9482
"STXBP1",6812
"STXBP2",6813
"STXBP3",6814
"STXBP4",252983
"STXBP5",134957
"STXBP5L",9515
"STXBP6",29091
"SV2A",9900
"SV2B",9899
"SV2C",22987
"SVOP",55530
"SYN1",6853
"SYN2",6854
"SYN3",8224
"SYNGR1",9145
"SYNGR2",9144
"SYNGR3",9143
"SYNJ1",8867
"SYNJ2",8871
"SYNPR",132204
"SYP",6855
"SYPL1",6856
"SYT1",6857
"SYT12",91683
"SYT2",127833
"SYT3",84258
"SYT5",6861
"SYT6",148281
"SYT7",9066
"SYT9",143425
"SYTL1",84958
"SYTL2",54843
"SYTL3",94120
"SYTL4",94121
"SYTL5",94122
"TAGLN3",29114
"TCP1",6950
"THY1",7070
"TKT",7086
"TLN2",83660
"TMED10",10972
"TMEM30A",55754
"TMEM65",157378
"TMOD2",29767
"TMPRSS9",360200
"TMSB4X",7114
"TNR",7143
"TPH1",7166
"TPH2",121278
"TRAPPC1",58485
"TRAPPC3",27095
"TRAPPC5",126003
"TTYH1",57348
"TTYH3",80727
"TUBA1A",7846
"TUBA4B",80086
"TUBB",203068
"TUBB2A",7280
"TUBB2B",347733
"TUBB2C",10383
"TUBB3",10381
"TUBB4",10382
"TXN",7295
"UBA1",7317
"UBE2N",7334
"UBE2V2",7336
"UCHL1",7345
"UNC13A",23025
"UNC13B",10497
"UNC13C",440279
"UNC13D",201294
"USP5",8078
"VAMP1",6843
"VAMP2",6844
"VAMP3",9341
"VAMP4",8674
"VAMP7",6845
"VAPA",9218
"VCP",7415
"VDAC1",7416
"VDAC3",7419
"VPS33A",65082
"VPS33B",26276
"VPS45",11311
"VSNL1",7447
"VTI1A",143187
"WASF1",8936
"WASL",8976
"WDR1",9948
"WDR37",22884
"WDR7",23335
"WFS1",7466
"WNK1",65125
"YWHAB",7529
"YWHAE",7531
"YWHAG",7532
"YWHAH",7533
"YWHAQ",10971
"YWHAZ",7534
"ZFYVE20",64145
"HTT",3064
